Rooms,Bathroom,Landsize,Lattitude,Longtitude,Price_original,y_pred_DT,y_pred_NN,Error_DT,Error_NN
2,1,156,-37.8079,144.9934,1035000,2248000,221644272,1213000,220609272
3,2,134,-37.8093,144.9944,1465000,2248000,207217968,783000,205752968
4,1,120,-37.8072,144.9941,1600000,2248000,195926272,648000,194326272
3,2,245,-37.8024,144.9993,1876000,2248000,294943328,372000,293067328
2,1,256,-37.806,144.9954,1636000,2248000,300675200,612000,299039200
2,1,220,-37.801,144.9989,1097000,2248000,272225984,1151000,271128984
3,2,214,-37.8085,144.9964,1350000,2248000,270443008,898000,269093008
2,2,0,-37.8078,144.9965,750000,835500,99952864,85500,99202864
2,1,238,-37.809,144.9976,1310000,2248000,286451520,938000,285141520
3,2,113,-37.8056,144.993,1200000,2248000,190620384,1048000,189420384
3,1,138,-37.8021,144.9965,1176500,2248000,208786336,1071500,207609836
2,1,150,-37.8011,145.0004,890000,2248000,216906000,1358000,216016000
4,2,780,-37.8073,144.9952,1330000,2248000,719117440,918000,717787440
2,1,0,-37.8015,144.9972,500000,835500,98359264,335500,97859264
2,2,124,-37.8079,144.9977,1100000,2248000,197950640,1148000,196850640
2,1,147,-37.808,144.994,1315000,2248000,214531984,933000,213216984
3,3,166,-37.8017,145.0001,1447500,2248000,234103424,800500,232655924
2,2,98,-37.8005,144.9952,1135000,2248000,177400464,1113000,176265464
3,1,168,-37.8007,144.9958,1290000,2248000,232494704,958000,231204704
1,1,0,-37.8055,144.9961,470000,835500,96992848,365500,96522848
2,1,162,-37.8016,144.9956,1180000,2248000,226386704,1068000,225206704
3,2,120,-37.8022,144.9954,1195000,2248000,196153584,1053000,194958584
2,1,182,-37.8021,144.9976,1012500,2248000,242193952,1235500,241181452
2,1,172,-37.8086,144.9946,1030000,2248000,234289904,1218000,233259904
3,2,303,-37.718,144.878,840000,2248000,340696128,1408000,339856128
3,2,0,-37.7203,144.8755,730000,835500,101234296,105500,100504296
3,2,0,-37.7203,144.8755,770000,835500,101234296,65500,100464296
2,1,272,-37.7294,144.888,603000,2248000,313244864,1645000,312641864
3,2,239,-37.7218,144.8837,700000,2248000,290120928,1548000,289420928
3,1,290,-37.7273,144.8744,600000,2248000,328827808,1648000,328227808
2,1,168,-37.7215,144.8864,500000,2248000,231051856,1748000,230551856
6,3,976,-37.7239,144.8735,725000,2248000,878257024,1523000,877532024
2,1,110,-37.7216,144.871,450000,2248000,185205072,1798000,184755072
2,1,141,-37.7298,144.8883,515000,2248000,209715936,1733000,209200936
2,1,120,-37.7234,144.8792,530000,2248000,193113296,1718000,192583296
3,1,1063,-37.7249,144.8728,895000,2248000,939727488,1353000,938832488
3,1,0,-37.7217,144.8783,805000,835500,99642904,30500,98837904
3,1,265,-37.7302,144.8855,752000,2248000,309077536,1496000,308325536
3,2,165,-37.727,144.887,700000,2248000,231641440,1548000,230941440
3,1,971,-37.7186,144.876,830000,2248000,867021248,1418000,866191248
2,1,612,-37.7187,144.8765,675000,2248000,581938112,1573000,581263112
3,2,612,-37.7173,144.8796,1042000,2248000,584899264,1206000,583857264
4,3,531,-37.7263,144.8679,773000,2248000,523838432,1475000,523065432
3,3,555,-37.7285,144.8694,810000,2248000,541440640,1438000,540630640
3,2,422,-37.7164,144.8792,715000,2248000,434742208,1533000,434027208
3,2,161,-37.7231,144.8802,540000,2248000,228475616,1708000,227935616
3,2,293,-37.72,144.8776,825000,2248000,332793120,1423000,331968120
3,1,579,-37.7226,144.8733,685000,2248000,557222912,1563000,556537912
4,2,628,-37.7256,144.8739,900000,2248000,598907776,1348000,598007776
2,1,120,-37.8459,144.9555,1275000,2248000,193174640,973000,191899640
3,2,211,-37.8481,144.9499,2850000,2248000,268048160,-602000,265198160
3,2,128,-37.8452,144.9488,1850000,2248000,202452336,398000,200602336
2,1,130,-37.8431,144.9565,1436000,2248000,201077952,812000,199641952
4,2,153,-37.8447,144.9523,2300000,2248000,223578112,-52000,221278112
3,2,132,-37.8415,144.952,1800000,2248000,205615040,448000,203815040
2,1,199,-37.8422,144.9554,2120000,2248000,255607760,128000,253487760
3,2,90,-37.8421,144.9571,1800000,2248000,172425712,448000,170625712
3,2,177,-37.8415,144.9585,2615000,2248000,241182480,-367000,238567480
3,2,0,-37.8451,144.9511,1370000,835500,101295504,-534500,99925504
2,1,149,-37.8443,144.9481,1322500,2248000,216088592,925500,214766092
2,1,141,-37.8424,144.9562,1562500,2248000,209770960,685500,208208460
3,2,211,-37.847,144.9575,2000000,2248000,268052688,248000,266052688
3,2,147,-37.8473,144.9551,3010000,2248000,217472128,-762000,214462128
